text,label
তোমরা সবাই এই ভাই তাকে একটু  কোরোভিডিও গুলো দেখো ভাল লাগলে  কোরো 🙏 ধন্যবাদ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,positive
"🎯 ব্রহ্মপুত্র নদের ওপর নির্মিত ৯.১৫ কিলোমিটারের ভূপেন হাজারিকা সেতু তৈরিতে ভারতের ৬ বছর লেগেছিল। 🎯 ৬.১৫ কিলোমিটারের পদ্মা সেতু তৈরিতে চিন এবং কোরিয়ান ইঞ্জিনিয়ারদের লেগেছে প্রায় ১২ বছর, বাংলাদেশের কাছ থেকে চিনের কোম্পানি নিয়েছে ৩০ হাজার কোটি । 🎯 ভারতের গর্ব ভূপেন হাজারিকা তৈরিতে ভারতের লেগেছে মাত্র ১ হাজার কোটি। কোন ভিনদেশী শ্রমিকের প্রয়োজন হয় নি।🎯 ভূপেন হাজারিকা সেতুতে কোন টোল/ট্যাক্স দিতে হবে না। আর পদ্মা সেতুতে ট্যাক্স নেওয়া হবে ৬৫ বছর।গর্ব করুন দেশের জন্য। স্বদেশী নির্মাণের জন্য।সংগৃহীত",positive
😊 ধন্যবাদ মাননীয় প্রধানমন্ত্রী শেখ হাসিনা,positive
2022 এর 25 এ জুন 🥰🥰,neutral
অনুভূতিটা এত সুন্দর ভাষায় প্রকাশ করতে পারতেছি না চোখের পানি চলে আসে ধন্যবাদ জানাই মাননীয় প্রধানমন্ত্রী শেখ হাসিনা,positive
অনেক কষ্টের ফসল ধন্যবাদ,positive
অভিনন্দন প্রদান মন্ত্রী 🇧🇩❤️🇧🇩❤️🇧🇩❤️,positive
"আচ্ছা আমি কোন এক নিউজে শুনেছিলাম যে পদ্মা সেতুতে জরুরী কারন ছাড়া গাড়ি বা মানুষ দাড়াতে পারবে না। কিন্তু এতো দেখছি মানুষ গাড়ি,বাইক থামিয়ে সেতুতে নেমে সেলফি তুলতেছে?",neutral
আমরা মুক্তিযদ্ধ দেখিনি! কিন্তু তাতে কি হয়েছে পদ্মা সেতুর উদ্বোধনী অনুষ্ঠান দেখেছি!,negative
আমি যদি মেতে পারতাম,positive
"আমি শুধু দেখেই যাচ্ছি,খুব ভালো একটা কাজ করেছে।",positive
